"","Geneid","SYMBOL","NCBI_GeneID","Ensembl_GeneID","gene_biotype","Chr","Start","End","Strand","Length"
"gene-PGRMC2","gene-PGRMC2","PGRMC2",422501,"ENSGALG00010007942","protein_coding","NC_052535.1","34010577","34022260","-",1726
"gene-JADE1","gene-JADE1","JADE1",422502,"ENSGALG00010007978","protein_coding","NC_052535.1","34022172","34172805","+",14604
"gene-RCHY1","gene-RCHY1","RCHY1",771726,"ENSGALG00010007983","protein_coding","NC_052535.1","34172952","34177829","+",2160
"gene-PARM1","gene-PARM1","PARM1",422503,"","protein_coding","NC_052535.1","34183917","34193315","-",2334
"gene-BTC","gene-BTC","BTC",448833,"ENSGALG00010008008","protein_coding","NC_052535.1","34193949","34199255","+",2924
"gene-GSR","gene-GSR","GSR",771783,"ENSGALG00010008016","protein_coding","NC_052535.1","34200060","34204342","-",1658
"gene-PPP2CB","gene-PPP2CB","PPP2CB",396021,"ENSGALG00010008019","protein_coding","NC_052535.1","34204410","34217442","-",2329
"gene-PURG","gene-PURG","PURG",428737,"ENSGALG00010008026","protein_coding","NC_052535.1","34219846","34245596","-",24972
"gene-WRN","gene-WRN","WRN",422505,"ENSGALG00010008038","protein_coding","NC_052535.1","34245828","34287468","+",4689
"gene-GTF2E2","gene-GTF2E2","GTF2E2",771227,"ENSGALG00010008056","protein_coding","NC_052535.1","34287694","34312093","+",2259
"gene-SMIM18","gene-SMIM18","SMIM18",100859858,"ENSGALG00010008071","protein_coding","NC_052535.1","34291854","34297837","-",2795
"gene-RBPMS","gene-RBPMS","RBPMS",428738,"ENSGALG00010008103","protein_coding","NC_052535.1","34317022","34322388","-",2105
"gene-FRAS1","gene-FRAS1","FRAS1",422506,"","protein_coding","NC_052535.1","34332197","34496233","-",12930
"gene-MRPL1","gene-MRPL1","MRPL1",422507,"ENSGALG00010008165","protein_coding","NC_052535.1","34507829","34526359","-",1772
"gene-CNOT6L","gene-CNOT6L","CNOT6L",422508,"ENSGALG00010008193","protein_coding","NC_052535.1","34525556","34560054","+",15085
"gene-CXCL13L2","gene-CXCL13L2","CXCL13L2",422510,"ENSGALG00010008206","protein_coding","NC_052535.1","34562636","34563680","-",565
"gene-CCNG2","gene-CCNG2","CCNG2",422512,"ENSGALG00010008214","protein_coding","NC_052535.1","34590677","34596701","-",3338
"gene-LOC422513","gene-LOC422513","LOC422513",422513,"","protein_coding","NC_052535.1","34603576","34622249","+",4072
"gene-PIGY","gene-PIGY","PIGY",101748971,"ENSGALG00010008229","protein_coding","NC_052535.1","34616078","34617106","-",929
"gene-HERC3","gene-HERC3","HERC3",422514,"ENSGALG00010008241","protein_coding","NC_052535.1","34624936","34668822","+",5247
"gene-FAM13A","gene-FAM13A","FAM13A",422515,"ENSGALG00010008290","protein_coding","NC_052535.1","34669048","34817249","-",14814
"gene-GPRIN3","gene-GPRIN3","GPRIN3",428740,"ENSGALG00010008320","protein_coding","NC_052535.1","34816478","34853831","-",28717
"gene-SNCA","gene-SNCA","SNCA",395393,"ENSGALG00010008368","protein_coding","NC_052535.1","34947237","35014162","-",1656
"gene-MMRN1","gene-MMRN1","MMRN1",428741,"ENSGALG00010008376","protein_coding","NC_052535.1","35022950","35078418","+",4732
"gene-CCSER1","gene-CCSER1","CCSER1",422518,"ENSGALG00010008488","protein_coding","NC_052535.1","35137903","35762215","+",41118
"gene-GRID2","gene-GRID2","GRID2",422520,"ENSGALG00010009069","protein_coding","NC_052535.1","35913902","36610655","+",6959
"gene-SMARCAD1","gene-SMARCAD1","SMARCAD1",422522,"ENSGALG00010005512","protein_coding","NC_052535.1","36702547","36744199","+",4421
"gene-SEC24B","gene-SEC24B","SEC24B",422523,"ENSGALG00010005692","protein_coding","NC_052535.1","36843593","36885756","-",8176
"gene-COL25A1","gene-COL25A1","COL25A1",429900,"ENSGALG00010005720","protein_coding","NC_052535.1","36925586","37225302","+",8752
"gene-OSTC","gene-OSTC","OSTC",422525,"","protein_coding","NC_052535.1","37279461","37283569","-",1141
"gene-LOC124418363","gene-LOC124418363","LOC124418363",124418363,"","protein_coding","NC_052535.1","37283810","37290004","+",6195
"gene-LEF1","gene-LEF1","LEF1",395865,"ENSGALG00010005587","protein_coding","NC_052535.1","37449291","37503977","+",2644
"gene-HADH","gene-HADH","HADH",420290,"ENSGALG00010005634","protein_coding","NC_052535.1","37515395","37532315","-",1693
"gene-CYP2U1","gene-CYP2U1","CYP2U1",422528,"ENSGALG00010005656","protein_coding","NC_052535.1","37533593","37546271","-",4460
"gene-SGMS2","gene-SGMS2","SGMS2",422529,"ENSGALG00010005670","protein_coding","NC_052535.1","37546810","37584696","-",16629
"gene-PAPSS1","gene-PAPSS1","PAPSS1",422530,"ENSGALG00010005915","protein_coding","NC_052535.1","37616600","37652499","+",3055
"gene-DKK2","gene-DKK2","DKK2",422531,"ENSGALG00010005985","protein_coding","NC_052535.1","37708349","37829983","+",6172
"gene-GIMD1","gene-GIMD1","GIMD1",422532,"ENSGALG00010006011","protein_coding","NC_052535.1","37967889","37972710","+",2239
"gene-AIMP1","gene-AIMP1","AIMP1",422533,"ENSGALG00010006049","protein_coding","NC_052535.1","37974153","38005566","-",1605
"gene-TBCK","gene-TBCK","TBCK",422534,"ENSGALG00010006077","protein_coding","NC_052535.1","38005801","38100491","+",5405
"gene-NPNT","gene-NPNT","NPNT",422535,"ENSGALG00010006118","protein_coding","NC_052535.1","38125567","38170418","-",3783
"gene-GSTCD","gene-GSTCD","GSTCD",422536,"ENSGALG00010006200","protein_coding","NC_052535.1","38185076","38251393","-",5709
"gene-INTS12","gene-INTS12","INTS12",422537,"ENSGALG00010006229","protein_coding","NC_052535.1","38251436","38267548","+",1870
"gene-ARHGEF38","gene-ARHGEF38","ARHGEF38",428744,"ENSGALG00010006243","protein_coding","NC_052535.1","38271218","38308435","-",5464
"gene-PPA2","gene-PPA2","PPA2",422539,"ENSGALG00010006259","protein_coding","NC_052535.1","38315950","38352163","+",2809
"gene-TET2","gene-TET2","TET2",422540,"ENSGALG00010005756","protein_coding","NC_052535.1","38379396","38449890","-",39365
"gene-LOC107051757","gene-LOC107051757","LOC107051757",107051757,"","protein_coding","NC_052535.1","38478331","38635043","+",25021
"gene-TACR3","gene-TACR3","TACR3",768993,"ENSGALG00010005776","protein_coding","NC_052535.1","38746187","38774777","+",2044
"gene-UFSP2","gene-UFSP2","UFSP2",422542,"ENSGALG00010005799","protein_coding","NC_052535.1","38817984","38829752","+",3726
"gene-LRP2BP","gene-LRP2BP","LRP2BP",422543,"ENSGALG00010005826","protein_coding","NC_052535.1","38829955","38839649","+",3238
"gene-SNX25","gene-SNX25","SNX25",422544,"ENSGALG00010005849","protein_coding","NC_052535.1","38840062","38902575","-",11182
"gene-CFAP97","gene-CFAP97","CFAP97",422545,"ENSGALG00010005858","protein_coding","NC_052535.1","38901227","38929955","+",7996
"gene-SLC25A4","gene-SLC25A4","SLC25A4",422546,"ENSGALG00010005880","protein_coding","NC_052535.1","38930868","38933690","-",1655
"gene-ACSL1","gene-ACSL1","ACSL1",422547,"ENSGALG00010007007","protein_coding","NC_052535.1","38972617","39044796","+",5598
"gene-CENPU","gene-CENPU","CENPU",422548,"ENSGALG00010007038","protein_coding","NC_052535.1","39046186","39056616","+",1590
"gene-PRIMPOL","gene-PRIMPOL","PRIMPOL",422549,"ENSGALG00010007085","protein_coding","NC_052535.1","39056534","39072577","-",2356
"gene-CASP3","gene-CASP3","CASP3",395476,"ENSGALG00010007067","protein_coding","NC_052535.1","39069163","39084205","+",3872
"gene-IRF2","gene-IRF2","IRF2",396115,"ENSGALG00010007130","protein_coding","NC_052535.1","39087465","39136738","+",19313
"gene-ENPP6","gene-ENPP6","ENPP6",422551,"ENSGALG00010007187","protein_coding","NC_052535.1","39153166","39179299","+",4309
"gene-STOX2","gene-STOX2","STOX2",769288,"ENSGALG00010007283","protein_coding","NC_052535.1","39184724","39314537","-",15058
"gene-TRAPPC11","gene-TRAPPC11","TRAPPC11",428748,"ENSGALG00010007294","protein_coding","NC_052535.1","39325564","39350441","-",4437
"gene-RWDD4","gene-RWDD4","RWDD4",428749,"ENSGALG00010007326","protein_coding","NC_052535.1","39350649","39359736","+",1597
"gene-ING2","gene-ING2","ING2",422553,"ENSGALG00010007353","protein_coding","NC_052535.1","39392812","39397591","-",1742
"gene-CDKN2AIP","gene-CDKN2AIP","CDKN2AIP",769372,"ENSGALG00010007376","protein_coding","NC_052535.1","39402863","39406673","-",2895
"gene-LOC100858925","gene-LOC100858925","LOC100858925",100858925,"","protein_coding","NC_052535.1","39448820","39453527","+",4708
"gene-WWC2","gene-WWC2","WWC2",422555,"ENSGALG00010007399","protein_coding","NC_052535.1","39454161","39542266","-",8264
"gene-DCTD","gene-DCTD","DCTD",422556,"ENSGALG00010007416","protein_coding","NC_052535.1","39566166","39597685","+",2414
"gene-TENM3","gene-TENM3","TENM3",422557,"ENSGALG00010007480","protein_coding","NC_052535.1","39627045","40914888","-",14644
"gene-AGA","gene-AGA","AGA",422558,"ENSGALG00010004457","protein_coding","NC_052535.1","41791927","41806804","+",5482
"gene-NEIL3","gene-NEIL3","NEIL3",428750,"ENSGALG00010004472","protein_coding","NC_052535.1","41811778","41830556","-",5624
"gene-GALNTL6","gene-GALNTL6","GALNTL6",422560,"ENSGALG00010002926","protein_coding","NC_052535.1","42333481","42763162","+",2635
"gene-GALNT7","gene-GALNT7","GALNT7",422561,"ENSGALG00010002937","protein_coding","NC_052535.1","42793402","42863219","+",4820
"gene-HMGB2","gene-HMGB2","HMGB2",396482,"ENSGALG00010002939","protein_coding","NC_052535.1","42868395","42870542","-",1163
"gene-SAP30","gene-SAP30","SAP30",422562,"ENSGALG00010002943","protein_coding","NC_052535.1","42881445","42887680","+",1119
"gene-SCRG1","gene-SCRG1","SCRG1",422563,"ENSGALG00010002956","protein_coding","NC_052535.1","42888367","42896646","-",2826
"gene-HAND2","gene-HAND2","HAND2",395813,"ENSGALG00010002982","protein_coding","NC_052535.1","42941841","42964036","-",8084
"gene-FBXO8","gene-FBXO8","FBXO8",422565,"ENSGALG00010002779","protein_coding","NC_052535.1","43255973","43274986","-",3828
"gene-CEP44","gene-CEP44","CEP44",422566,"ENSGALG00010002787","protein_coding","NC_052535.1","43274763","43288605","+",2935
"gene-HPGD","gene-HPGD","HPGD",422567,"ENSGALG00010002632","protein_coding","NC_052535.1","43337644","43363459","-",3189
"gene-LOC101750640","gene-LOC101750640","LOC101750640",101750640,"","protein_coding","NC_052535.1","43363650","43618983","+",21635
"gene-GLRA3","gene-GLRA3","GLRA3",422568,"ENSGALG00010002656","protein_coding","NC_052535.1","43424650","43502346","-",6887
"gene-GPM6A","gene-GPM6A","GPM6A",422569,"ENSGALG00010003347","protein_coding","NC_052535.1","43725278","43826157","-",4800
"gene-WDR17","gene-WDR17","WDR17",422570,"ENSGALG00010003384","protein_coding","NC_052535.1","43879565","43962272","+",11863
"gene-ASB5","gene-ASB5","ASB5",422572,"ENSGALG00010003412","protein_coding","NC_052535.1","43934798","43969474","-",5398
"gene-SPCS3","gene-SPCS3","SPCS3",396234,"ENSGALG00010003442","protein_coding","NC_052535.1","43968985","43976233","+",900
"gene-VEGFC","gene-VEGFC","VEGFC",422573,"ENSGALG00010003259","protein_coding","NC_052535.1","44046096","44114669","-",2208
"gene-MTHFD2L","gene-MTHFD2L","MTHFD2L",770327,"ENSGALG00010003303","protein_coding","NC_052535.1","44250183","44276540","+",2433
"gene-EPGN","gene-EPGN","EPGN",497270,"ENSGALG00010003315","protein_coding","NC_052535.1","44278099","44287365","+",2814
"gene-USO1","gene-USO1","USO1",422575,"ENSGALG00010002441","protein_coding","NC_052535.1","44360949","44387036","-",3788
"gene-G3BP2","gene-G3BP2","G3BP2",422576,"ENSGALG00010002459","protein_coding","NC_052535.1","44387696","44412661","+",4203
"gene-BMP2K","gene-BMP2K","BMP2K",422578,"ENSGALG00010003165","protein_coding","NC_052535.1","44450578","44511607","+",7720
"gene-PAQR3","gene-PAQR3","PAQR3",770386,"ENSGALG00010003171","protein_coding","NC_052535.1","44512123","44519562","-",3080
"gene-ANTXR2","gene-ANTXR2","ANTXR2",422580,"ENSGALG00010003189","protein_coding","NC_052535.1","44778022","44879663","-",3337
"gene-PRDM8","gene-PRDM8","PRDM8",777386,"ENSGALG00010002796","protein_coding","NC_052535.1","44891696","44896211","+",3218
"gene-FGF5","gene-FGF5","FGF5",770457,"ENSGALG00010002801","protein_coding","NC_052535.1","44897075","44906176","+",6018
"gene-BMP3","gene-BMP3","BMP3",422581,"ENSGALG00010002819","protein_coding","NC_052535.1","44968325","45052656","+",10979
"gene-RASGEF1B","gene-RASGEF1B","RASGEF1B",100859744,"ENSGALG00010002880","protein_coding","NC_052535.1","45052923","45182306","+",4591
"gene-PRKG2","gene-PRKG2","PRKG2",428753,"ENSGALG00010003198","protein_coding","NC_052535.1","45193106","45219176","+",8478
"gene-PKD2","gene-PKD2","PKD2",422585,"ENSGALG00010003204","protein_coding","NC_052535.1","45218525","45233734","-",4328
"gene-SPP1","gene-SPP1","SPP1",395210,"ENSGALG00010003220","protein_coding","NC_052535.1","45233954","45237015","-",1167
"gene-DMP1","gene-DMP1","DMP1",404539,"","protein_coding","NC_052535.1","45252948","45255218","-",1724
"gene-SPARCL1","gene-SPARCL1","SPARCL1",422586,"ENSGALG00010003771","protein_coding","NC_052535.1","45260285","45274222","+",2764
"gene-NUDT9","gene-NUDT9","NUDT9",422587,"ENSGALG00010003788","protein_coding","NC_052535.1","45275040","45303139","-",7388
"gene-HSD17B11","gene-HSD17B11","HSD17B11",428754,"","protein_coding","NC_052535.1","45281431","45288498","+",1554
"gene-HSD17B13","gene-HSD17B13","HSD17B13",422588,"","protein_coding","NC_052535.1","45294038","45299145","+",1446
"gene-KLHL8","gene-KLHL8","KLHL8",422589,"ENSGALG00010003816","protein_coding","NC_052535.1","45302755","45319098","+",6374
"gene-AFF1","gene-AFF1","AFF1",422590,"","protein_coding","NC_052535.1","45322260","45374877","-",6167
"gene-PTPN13","gene-PTPN13","PTPN13",422591,"ENSGALG00010003823","protein_coding","NC_052535.1","45385716","45491553","-",11863
"gene-MAPK10","gene-MAPK10","MAPK10",422592,"ENSGALG00010003834","protein_coding","NC_052535.1","45511448","45610891","-",8437
"gene-ARHGAP24","gene-ARHGAP24","ARHGAP24",422593,"ENSGALG00010003878","protein_coding","NC_052535.1","45639854","45833833","-",9975
"gene-COPS4","gene-COPS4","COPS4",422594,"ENSGALG00010003894","protein_coding","NC_052535.1","45851400","45859868","-",1724
"gene-LIN54","gene-LIN54","LIN54",422595,"ENSGALG00010003899","protein_coding","NC_052535.1","45859899","45898416","+",7447
"gene-THAP6","gene-THAP6","THAP6",422596,"","protein_coding","NC_052535.1","45899856","45905100","-",3825
"gene-SEC31A","gene-SEC31A","SEC31A",422597,"ENSGALG00010003925","protein_coding","NC_052535.1","45904578","45938246","+",6294
"gene-SCD5","gene-SCD5","SCD5",422598,"ENSGALG00010003948","protein_coding","NC_052535.1","45937776","45958842","+",2978
"gene-TMEM150C","gene-TMEM150C","TMEM150C",422599,"ENSGALG00010003981","protein_coding","NC_052535.1","45957315","45977343","+",5571
"gene-ENOPH1","gene-ENOPH1","ENOPH1",422600,"ENSGALG00010003988","protein_coding","NC_052535.1","45977323","45981861","-",2191
"gene-HNRNPDL","gene-HNRNPDL","HNRNPDL",422601,"ENSGALG00010004003","protein_coding","NC_052535.1","45981962","45986301","+",2426
"gene-HNRNPD","gene-HNRNPD","HNRNPD",422602,"ENSGALG00010004018","protein_coding","NC_052535.1","45986879","45995788","+",4065
"gene-PLACL2","gene-PLACL2","PLACL2",100857411,"ENSGALG00010003240","protein_coding","NC_052535.1","46003413","46004643","-",503
"gene-COQ2","gene-COQ2","COQ2",422605,"ENSGALG00010002483","protein_coding","NC_052535.1","46010122","46017571","-",1535
"gene-HPSE","gene-HPSE","HPSE",373981,"ENSGALG00010002522","protein_coding","NC_052535.1","46019650","46024543","-",2075
"gene-MRPS18C","gene-MRPS18C","MRPS18C",770813,"ENSGALG00010002565","protein_coding","NC_052535.1","46024605","46045700","+",5439
"gene-HELQ","gene-HELQ","HELQ",422606,"ENSGALG00010002576","protein_coding","NC_052535.1","46027150","46043577","-",3452
"gene-FAM175A","gene-FAM175A","FAM175A",422608,"ENSGALG00010002588","protein_coding","NC_052535.1","46045515","46053037","-",3082
"gene-LOC422609","gene-LOC422609","LOC422609",422609,"","protein_coding","NC_052535.1","46052600","46076289","+",5418
"gene-GPAT3","gene-GPAT3","GPAT3",422610,"ENSGALG00010002614","protein_coding","NC_052535.1","46086213","46103830","+",3965
"gene-NKX6-1","gene-NKX6-1","NKX6-1",395752,"","protein_coding","NC_052535.1","46375948","46378142","-",2023
"gene-CDS1","gene-CDS1","CDS1",422611,"ENSGALG00010003456","protein_coding","NC_052535.1","46385677","46413144","+",3997
"gene-WDFY3","gene-WDFY3","WDFY3",422613,"ENSGALG00010003507","protein_coding","NC_052535.1","46427045","46566908","+",14934
"gene-PPM1K","gene-PPM1K","PPM1K",422614,"ENSGALG00010003531","protein_coding","NC_052535.1","46571214","46589368","-",6462
"gene-ADGRL3","gene-ADGRL3","ADGRL3",422616,"ENSGALG00010003560","protein_coding","NC_052535.1","47397442","47890525","+",14327
"gene-IGFBP7","gene-IGFBP7","IGFBP7",422620,"ENSGALG00010003660","protein_coding","NC_052535.1","48656657","48686876","+",7039
"gene-POLR2B","gene-POLR2B","POLR2B",422621,"ENSGALG00010003676","protein_coding","NC_052535.1","48683839","48703296","-",3788
"gene-NOA1","gene-NOA1","NOA1",422622,"ENSGALG00010003695","protein_coding","NC_052535.1","48703329","48708916","+",2609
"gene-REST","gene-REST","REST",422623,"ENSGALG00010003700","protein_coding","NC_052535.1","48711479","48726854","-",6593
"gene-SARAF","gene-SARAF","SARAF",422624,"ENSGALG00010003701","protein_coding","NC_052535.1","48735758","48743423","-",2320
"gene-LEPROTL1","gene-LEPROTL1","LEPROTL1",422625,"ENSGALG00010003717","protein_coding","NC_052535.1","48743586","48746895","+",1386
"gene-SRP72","gene-SRP72","SRP72",422626,"ENSGALG00010003737","protein_coding","NC_052535.1","48748632","48763242","+",2116
"gene-ARL9","gene-ARL9","ARL9",771078,"ENSGALG00010003743","protein_coding","NC_052535.1","48763183","48769432","+",4839
"gene-HOPX","gene-HOPX","HOPX",395241,"ENSGALG00010003746","protein_coding","NC_052535.1","48774231","48782993","-",2208
"gene-SPINK2","gene-SPINK2","SPINK2",770729,"","protein_coding","NC_052535.1","48795686","48797935","-",403
"gene-DUSP4","gene-DUSP4","DUSP4",395642,"ENSGALG00010002994","protein_coding","NC_052535.1","48873646","48878752","+",2374
"gene-TNKS","gene-TNKS","TNKS",374252,"ENSGALG00010003009","protein_coding","NC_052535.1","48878998","48992208","-",10595
"gene-MFHAS1","gene-MFHAS1","MFHAS1",101750338,"ENSGALG00010003025","protein_coding","NC_052535.1","48991982","49015789","+",6007
"gene-ERI1","gene-ERI1","ERI1",422629,"ENSGALG00010003034","protein_coding","NC_052535.1","49016799","49026150","+",2345
"gene-PPP1R3B","gene-PPP1R3B","PPP1R3B",422630,"ENSGALG00010003108","protein_coding","NC_052535.1","49050540","49055922","-",3579
"gene-LOC430303","gene-LOC430303","LOC430303",430303,"","protein_coding","NC_052535.1","49072616","49085783","+",6962
"gene-PRAG1","gene-PRAG1","PRAG1",422632,"ENSGALG00010003176","protein_coding","NC_052535.1","49100180","49119630","+",6418
"gene-CCNI","gene-CCNI","CCNI",422634,"ENSGALG00010002678","protein_coding","NC_052535.1","49135937","49161369","+",2884
"gene-SEPTIN11","gene-SEPTIN11","SEPTIN11",422635,"ENSGALG00010002763","protein_coding","NC_052535.1","49161002","49214276","-",12614
"gene-SOWAHB","gene-SOWAHB","SOWAHB",101748297,"","protein_coding","NC_052535.1","49218427","49220425","+",1999
"gene-LGALS1B","gene-LGALS1B","LGALS1B",404269,"ENSGALG00010004040","protein_coding","NC_052535.1","49232695","49242520","+",2225
"gene-SHROOM3","gene-SHROOM3","SHROOM3",422636,"ENSGALG00010004056","protein_coding","NC_052535.1","49243856","49383781","-",17115
"gene-STBD1","gene-STBD1","STBD1",422637,"ENSGALG00010004117","protein_coding","NC_052535.1","49404152","49405827","-",1585
"gene-SCARB2","gene-SCARB2","SCARB2",422638,"ENSGALG00010004104","protein_coding","NC_052535.1","49422804","49443508","+",2050
"gene-NUP54","gene-NUP54","NUP54",422639,"ENSGALG00010004135","protein_coding","NC_052535.1","49444402","49456604","+",2387
"gene-PPEF2","gene-PPEF2","PPEF2",422640,"ENSGALG00010004139","protein_coding","NC_052535.1","49457475","49479397","-",8640
"gene-NAAA","gene-NAAA","NAAA",422641,"ENSGALG00010004146","protein_coding","NC_052535.1","49479546","49488890","-",1462
"gene-SDAD1","gene-SDAD1","SDAD1",422642,"ENSGALG00010004149","protein_coding","NC_052535.1","49490187","49504616","-",2775
"gene-LOC422643","gene-LOC422643","LOC422643",422643,"","protein_coding","NC_052535.1","49507828","49518996","+",3557
"gene-RUFY3","gene-RUFY3","RUFY3",422645,"ENSGALG00010004237","protein_coding","NC_052535.1","49525548","49584116","+",15731
"gene-UTP3","gene-UTP3","UTP3",422644,"ENSGALG00010004086","protein_coding","NC_052535.1","49528571","49530273","+",1703
"gene-GRSF1","gene-GRSF1","GRSF1",422646,"ENSGALG00010004248","protein_coding","NC_052535.1","49583574","49590980","-",2255
"gene-MOB1B","gene-MOB1B","MOB1B",422647,"ENSGALG00010004250","protein_coding","NC_052535.1","49596048","49635344","+",10877
"gene-DCK","gene-DCK","DCK",422648,"ENSGALG00010004283","protein_coding","NC_052535.1","49635605","49646029","+",2100
"gene-SLC4A4","gene-SLC4A4","SLC4A4",422649,"ENSGALG00010004340","protein_coding","NC_052535.1","49649580","49882134","+",9449
"gene-ADAMTS3","gene-ADAMTS3","ADAMTS3",428760,"ENSGALG00010004385","protein_coding","NC_052535.1","49978110","50110174","-",8382
"gene-COX18","gene-COX18","COX18",422650,"ENSGALG00010004398","protein_coding","NC_052535.1","50122717","50233713","-",1649
"gene-ANKRD17","gene-ANKRD17","ANKRD17",422651,"ENSGALG00010004443","protein_coding","NC_052535.1","50235581","50298657","-",12624
"gene-ALB","gene-ALB","ALB",396197,"ENSGALG00010005070","protein_coding","NC_052535.1","50341494","50358196","+",3941
"gene-IL8L2","gene-IL8L2","IL8L2",396495,"ENSGALG00010005131","protein_coding","NC_052535.1","50443423","50446598","+",1191
"gene-EPHA5","gene-EPHA5","EPHA5",395997,"ENSGALG00010005178","protein_coding","NC_052535.1","50557808","50759238","-",6262
"gene-LOC770574","gene-LOC770574","LOC770574",770574,"","protein_coding","NC_052535.1","51069897","51075857","-",1162
"gene-CENPC","gene-CENPC","CENPC",395922,"ENSGALG00010004837","protein_coding","NC_052535.1","51084412","51116336","-",3144
"gene-STAP1","gene-STAP1","STAP1",428761,"ENSGALG00010004880","protein_coding","NC_052535.1","51117634","51140784","+",4744
"gene-UBA6","gene-UBA6","UBA6",422655,"ENSGALG00010004896","protein_coding","NC_052535.1","51128426","51160787","-",4100
"gene-TMPRSS11F","gene-TMPRSS11F","TMPRSS11F",428763,"","protein_coding","NC_052535.1","51215047","51259511","-",14404
"gene-YTHDC1","gene-YTHDC1","YTHDC1",422656,"ENSGALG00010004969","protein_coding","NC_052535.1","51259669","51282231","+",3094
"gene-UGT2A1","gene-UGT2A1","UGT2A1",422660,"ENSGALG00010004984","protein_coding","NC_052535.1","51284118","51302991","-",6587
"gene-SULT1B1","gene-SULT1B1","SULT1B1",395227,"ENSGALG00010005014","protein_coding","NC_052535.1","51305859","51308157","-",1113
"gene-SULT1E1","gene-SULT1E1","SULT1E1",422662,"ENSGALG00010005017","protein_coding","NC_052535.1","51308952","51310601","-",1077
"gene-FAT4","gene-FAT4","FAT4",395166,"ENSGALG00010005029","protein_coding","NC_052535.1","52022199","52159072","-",17038
"gene-ANKRD50","gene-ANKRD50","ANKRD50",422663,"ENSGALG00010004095","protein_coding","NC_052535.1","52390081","52432131","+",8348
"gene-SPRY1","gene-SPRY1","SPRY1",395583,"ENSGALG00010004116","protein_coding","NC_052535.1","52868037","52891574","-",8784
"gene-SPATA5","gene-SPATA5","SPATA5",422665,"ENSGALG00010006022","protein_coding","NC_052535.1","52897067","53082023","-",7446
"gene-FGF2","gene-FGF2","FGF2",396413,"ENSGALG00010004219","protein_coding","NC_052535.1","53088595","53118677","-",4958
"gene-BBS12","gene-BBS12","BBS12",422667,"ENSGALG00010004181","protein_coding","NC_052535.1","53119417","53148532","-",14372
"gene-CETN2","gene-CETN2","CETN2",422668,"ENSGALG00010004225","protein_coding","NC_052535.1","53148666","53153605","+",2169
"gene-LOC107051715","gene-LOC107051715","LOC107051715",107051715,"","protein_coding","NC_052535.1","53171486","53252527","-",15805
"gene-KIAA1109","gene-KIAA1109","KIAA1109",422670,"ENSGALG00010004243","protein_coding","NC_052535.1","53252869","53362148","-",15882
"gene-TRPC3","gene-TRPC3","TRPC3",374153,"ENSGALG00010005198","protein_coding","NC_052535.1","53393992","53434039","+",3993
"gene-BBS7","gene-BBS7","BBS7",771481,"ENSGALG00010005214","protein_coding","NC_052535.1","53434245","53449232","+",2642
"gene-CCNA2","gene-CCNA2","CCNA2",396172,"ENSGALG00010005217","protein_coding","NC_052535.1","53449423","53456872","+",4316
"gene-EXOSC9","gene-EXOSC9","EXOSC9",619530,"ENSGALG00010005227","protein_coding","NC_052535.1","53457002","53462466","-",1527
"gene-ANXA5","gene-ANXA5","ANXA5",428767,"ENSGALG00010005260","protein_coding","NC_052535.1","53469183","53512313","+",4458
"gene-QRFPR","gene-QRFPR","QRFPR",422671,"ENSGALG00010005300","protein_coding","NC_052535.1","53586022","53607901","+",3651
"gene-NDNF","gene-NDNF","NDNF",422672,"ENSGALG00010005399","protein_coding","NC_052535.1","53703030","53721099","+",6340
"gene-PRDM5","gene-PRDM5","PRDM5",422673,"ENSGALG00010005434","protein_coding","NC_052535.1","53742918","53827399","+",4528
"gene-MAD2L1","gene-MAD2L1","MAD2L1",422675,"ENSGALG00010005435","protein_coding","NC_052535.1","54050386","54053835","+",1345
"gene-RPL7L1","gene-RPL7L1","RPL7L1",422676,"ENSGALG00010005456","protein_coding","NC_052535.1","54054462","54058121","-",1473
"gene-PDE5A","gene-PDE5A","PDE5A",422677,"ENSGALG00010005499","protein_coding","NC_052535.1","54091536","54224936","+",11513
"gene-LOC107051795","gene-LOC107051795","LOC107051795",107051795,"","protein_coding","NC_052535.1","54235491","54238647","+",2811
"gene-USP53","gene-USP53","USP53",422680,"ENSGALG00010005507","protein_coding","NC_052535.1","54245607","54278207","-",4316
"gene-MYOZ2","gene-MYOZ2","MYOZ2",422682,"ENSGALG00010005510","protein_coding","NC_052535.1","54292325","54309535","-",1373
"gene-SYNPO2","gene-SYNPO2","SYNPO2",428768,"ENSGALG00010005522","protein_coding","NC_052535.1","54328671","54420471","-",12817
"gene-SEC24D","gene-SEC24D","SEC24D",422683,"ENSGALG00010005543","protein_coding","NC_052535.1","54435512","54487990","+",5211
"gene-METTL14","gene-METTL14","METTL14",422684,"ENSGALG00010005551","protein_coding","NC_052535.1","54492812","54516443","-",2704
"gene-PRSS12","gene-PRSS12","PRSS12",422685,"ENSGALG00010005555","protein_coding","NC_052535.1","54529925","54571895","+",5302
"gene-NDST3","gene-NDST3","NDST3",428769,"ENSGALG00010005567","protein_coding","NC_052535.1","54572388","54648526","-",13267
"gene-NDST4","gene-NDST4","NDST4",422686,"ENSGALG00010003898","protein_coding","NC_052535.1","55558385","55719045","+",4690
"gene-UGT8","gene-UGT8","UGT8",374033,"ENSGALG00010003761","protein_coding","NC_052535.1","55765595","55812302","-",9294
